,flywire_x,flywire_y,flywire_z,cns_x,cns_y,cns_z
0,522233.0,182777.0,95207.001953125,388026,161159,167533
1,454508.0,89086.0,95359.00390625,316430,61913,170284
2,597585.0,99229.0,83202.001953125,448916,60418,171139
3,519698.0,211589.0,125015.0,386935,193888,208371
4,414953.0,170699.0,155265.0,274930,152795,222699
5,645003.0,177464.0,134322.001953125,501849,141522,219899
6,524277.0,344712.0,129754.00390625,390374,358625,202136
7,527396.0,343260.0,164365.99609375,391470,346564,250637
8,434211.0,304297.0,164621.9921875,300097,308187,240842
9,621684.0,308808.0,150989.00390625,482113,296857,235944
10,580176.0,263905.0,150732.998046875,435695,246053,240622
11,470272.0,256026.0,153474.00390625,345784,253363,241134
12,401933.0,198810.0,89577.998046875,264353,182932,151045
13,642692.0,212723.0,59242.001953125,515372,176609,140441
14,586801.0,290073.0,62130.0,454442,261756,139151
15,460545.0,279290.0,76420.0,330067,276755,143621
16,510780.0,223699.0,82305.0,370272,205483,151954
17,548506.0,231054.0,68087.001953125,411207,200001,151369
18,742201.0,191918.0,218409.00390625,613704,156201,309726
19,317205.0,190828.0,251305.99609375,170238,167008,319930
20,371132.0,320486.0,190040.0,238191,335991,270355
21,686624.0,351108.0,176596.9921875,540117,336062,288892
22,491969.0,219403.0,29135.0,351336,200430,107763
23,466663.0,237743.0,26538.00048828125,335051,226704,100604
24,562627.0,184334.0,93767.001953125,424379,159948,169974
25,484473.0,179521.0,102087.001953125,350456,161269,170502
26,658604.0,253312.0,139167.001953125,517314,233231,231104
27,392092.0,245172.0,157899.00390625,257423,232268,230181
28,392571.0,158628.0,104124.00390625,245230,144815,158189
29,661314.0,173678.0,68393.9990234375,535159,136103,157802
30,682686.0,236760.0,91420.99609375,551394,202480,180216
31,361934.0,226774.0,125787.001953125,227126,211720,187145
32,274683.0,149974.0,214870.0,145390,118634,266812
33,769219.0,162823.0,170025.0,630291,107194,266812
34,733084.0,348772.0,206023.0078125,581449,350964,303510
35,847087.0,278123.0,209270.99609375,723165,260378,294788
36,268223.0,308915.0,262709.00390625,120778,336502,334874
37,699590.0,150030.0,159934.00390625,549683,107246,243727
38,677972.0,149524.0,82227.001953125,535602,100206,171080
39,637445.0,155382.0,45932.001953125,508321,126607,131346
40,662720.0,252190.0,44177.001953125,532962,207130,136274
41,383361.0,232099.0,77052.001953125,251119,219890,140485
42,420262.0,91970.0,163797.001953125,279280,51803,235661
43,726455.0,184042.0,194529.00390625,585219,141878,283603
44,298362.0,161967.0,224806.9921875,157845,138117,286167
45,298816.0,374301.0,212310.0,168102,411209,293433
46,433150.0,221877.0,40881.0009765625,289476,211369,114363
47,516419.0,232272.0,52162.001953125,370677,210472,129321
48,445024.0,195472.0,44242.998046875,306571,178248,117355
49,474195.0,337610.0,71571.0009765625,352727,339410,143852
50,564662.0,344027.0,56717.998046875,421535,338086,157100
51,522722.0,355525.0,125930.0,392046,362916,199838
52,555302.0,285557.0,79250.0,417261,265987,156246
53,622612.0,266282.0,52917.998046875,488205,228891,131031
54,668361.0,289758.0,79327.998046875,535644,261756,166930
55,596525.0,324634.0,76042.998046875,464272,310392,167357
56,349340.0,243951.0,149922.998046875,212976,232268,222061
57,343416.0,337962.0,227555.99609375,205283,361933,312665
58,505233.0,144248.0,161660.99609375,362557,126364,236165
59,559232.0,149982.0,156550.99609375,410423,122304,237874
60,531132.0,171520.0,164515.99609375,387345,146109,251123
61,543828.0,129145.0,63252.001953125,405324,103572,133483
62,500885.0,127077.0,66751.0009765625,365481,105716,127501
63,618922.0,226701.0,23058.9990234375,474349,190599,99596
64,561268.0,271344.0,22491.0009765625,424774,237054,102588
65,545274.0,235034.0,37355.0,417226,203831,123956
66,607136.0,213531.0,30053.00048828125,463574,168778,106861
67,617001.0,220676.0,71797.998046875,487042,174379,142684
68,607126.0,176973.0,51981.0009765625,470064,151746,124165
